date, value
2013/1/9,1663.5
2013/1/10,1663
2013/1/11,1669.5
2013/1/14,1667.75
2013/1/15,1681
2013/1/16,1679.75
2013/1/17,1683.25
2013/1/18,1690
2013/1/21,1688
2013/1/22,1692.5
2013/1/23,1692.25
2013/1/24,1677
2013/1/25,1670.25
2013/1/28,1656.75
2013/1/29,1660.5
2013/1/30,1666.25
2013/1/31,1674.5
2013/2/1,1665
2013/2/4,1664.25
2013/2/5,1678
2013/2/6,1670
2013/2/7,1675.75
2013/2/8,1669.75
2013/2/11,1663.5
2013/2/12,1641.75
2013/2/13,1648
2013/2/14,1644
2013/2/15,1629.25
2013/2/18,1611.25
2013/2/19,1613.5
2013/2/20,1602
2013/2/21,1568.5
2013/2/22,1580
2013/2/25,1592.5
2013/2/26,1597.25
2013/2/27,1608.5
2013/2/28,1591
2013/3/1,1570
2013/3/4,1578
2013/3/5,1584.25
2013/3/6,1574
2013/3/7,1580.5
2013/3/8,1577
2013/3/11,1577.5
2013/3/12,1582.5
2013/3/13,1591.5
2013/3/14,1585
2013/3/15,1593.25
2013/3/18,1599.5
2013/3/19,1602.5
2013/3/20,1611.5
2013/3/21,1608.75
2013/3/22,1611.5
2013/3/25,1602.25
2013/3/26,1597.25
2013/3/27,1591
2013/3/28,1602.5
2013/4/2,1597.75
2013/4/3,1568.5
2013/4/4,1545.25
2013/4/5,1552.75
2013/4/8,1577.25
2013/4/9,1572.5
2013/4/10,1581.5
2013/4/11,1555.75
2013/4/12,1548
2013/4/15,1416
2013/4/16,1378
2013/4/17,1379
2013/4/18,1397
2013/4/19,1414
2013/4/22,1425
2013/4/23,1417.25
2013/4/24,1424.5
2013/4/25,1446.5
2013/4/26,1462.25
2013/4/29,1472.5
2013/4/30,1472.75
2013/5/1,1469.5
2013/5/2,1456
2013/5/3,1476.5
2013/5/7,1463
2013/5/8,1454
2013/5/9,1469.5
2013/5/10,1449.25
2013/5/13,1429.75
2013/5/14,1436.5
2013/5/15,1412.25
2013/5/16,1377
2013/5/17,1376.75
2013/5/20,1353.75
2013/5/21,1378.75
2013/5/22,1385.25
2013/5/23,1386
2013/5/24,1385.25
2013/5/28,1379
2013/5/29,1384.5
2013/5/30,1406.25
2013/5/31,1410.25
2013/6/3,1396.75
2013/6/4,1405.25
2013/6/5,1396.5
2013/6/6,1399.5
2013/6/7,1410
2013/6/10,1376.75
2013/6/11,1369.5
2013/6/12,1377.25
2013/6/13,1386.25
2013/6/14,1379.75
2013/6/17,1386
2013/6/18,1378.5
2013/6/19,1366
2013/6/20,1303.25
2013/6/21,1290.25
2013/6/24,1283.25
2013/6/25,1285
2013/6/26,1229
2013/6/27,1232
2013/6/28,1203.25
2013/7/1,1243.5
2013/7/2,1260.75
2013/7/3,1246
2013/7/4,1249.5
2013/7/5,1232.75
2013/7/8,1225.5
2013/7/9,1252
2013/7/10,1252.25
2013/7/11,1280.75
2013/7/12,1275
2013/7/15,1281.25
2013/7/16,1286
2013/7/17,1284.25
2013/7/18,1279.75
2013/7/19,1286
2013/7/22,1313.75
2013/7/23,1326.75
2013/7/24,1340
2013/7/25,1312
2013/7/26,1327.75
2013/7/29,1330.75
2013/7/30,1322.25
2013/7/31,1331.5
2013/8/1,1323.75
2013/8/2,1285.75
2013/8/5,1311
2013/8/6,1292
2013/8/7,1275.5
2013/8/8,1287.75
2013/8/9,1305.5
2013/8/12,1325.75
2013/8/13,1334
2013/8/14,1323.25
2013/8/15,1339.5
2013/8/16,1360.75
2013/8/19,1375.25
2013/8/20,1365.75
2013/8/21,1360
2013/8/22,1370.5
2013/8/23,1374.5
2013/8/27,1411
2013/8/28,1425.5
2013/8/29,1406.25
2013/8/30,1392.75
2013/9/2,1391.25
2013/9/3,1391.25
2013/9/4,1403.75
2013/9/5,1391.75
2013/9/6,1368.25
