Date,Price,Open,High,Low,Vol.,Change %
29-Oct-10,1587.14 ,"1,583.17","1,588.32","1,572.88",-,0.23%
28-Oct-10,1583.44 ,"1,583.17","1,593.28","1,581.68",-,0.02%
27-Oct-10,1583.17 ,"1,609.94","1,613.91","1,583.17",-,-1.65%
26-Oct-10,1609.79 ,"1,620.22","1,622.28","1,602.54",-,-0.66%
25-Oct-10,1620.49 ,"1,608.71","1,634.66","1,606.75",-,0.73%
22-Oct-10,1608.71 ,"1,604.84","1,620.04","1,592.35",-,0.24%
21-Oct-10,1604.86 ,"1,558.20","1,605.83","1,557.29",-,3.09%
20-Oct-10,1556.74 ,"1,570.41","1,570.67","1,545.14",-,-0.88%
19-Oct-10,1570.59 ,"1,583.04","1,597.25","1,566.61",-,-0.79%
18-Oct-10,1583.04 ,"1,581.90","1,585.23","1,564.44",-,0.07%
15-Oct-10,1581.90 ,"1,586.94","1,592.23","1,578.46",-,-0.32%
14-Oct-10,1586.94 ,"1,588.83","1,605.67","1,581.62",-,-0.12%
13-Oct-10,1588.83 ,"1,574.20","1,592.10","1,574.20",-,0.93%
12-Oct-10,1574.20 ,"1,588.28","1,588.28","1,560.63",-,-0.89%
11-Oct-10,1588.29 ,"1,566.35","1,588.46","1,566.34",-,1.37%
8-Oct-10,1566.85 ,"1,584.29","1,586.61","1,555.46",-,-1.10%
7-Oct-10,1584.29 ,"1,577.55","1,598.33","1,576.39",-,0.38%
6-Oct-10,1578.35 ,"1,568.86","1,589.77","1,567.64",-,0.60%
5-Oct-10,1568.86 ,"1,542.38","1,568.90","1,537.68",-,1.70%
4-Oct-10,1542.58 ,"1,532.03","1,547.43","1,528.13",-,0.70%
1-Oct-10,1531.91 ,"1,507.28","1,537.32","1,502.20",-,1.61%
30-Sep-10,1507.66 ,"1,494.77","1,509.89","1,491.23",-,0.85%
29-Sep-10,1494.93 ,"1,483.68","1,500.67","1,483.68",-,0.76%
28-Sep-10,1483.68 ,"1,487.86","1,489.89","1,472.03",-,-0.28%
27-Sep-10,1487.86 ,"1,488.52","1,504.22","1,486.63",-,-0.05%
24-Sep-10,1488.67 ,"1,477.13","1,488.67","1,468.86",-,0.78%
23-Sep-10,1477.13 ,"1,477.02","1,485.47","1,466.22",-,0.01%
22-Sep-10,1477.01 ,"1,478.21","1,483.10","1,464.65",-,-0.08%
21-Sep-10,1478.21 ,"1,467.11","1,483.86","1,467.11",-,0.76%
20-Sep-10,1467.11 ,"1,464.18","1,471.00","1,458.89",-,0.20%
17-Sep-10,1464.18 ,"1,463.88","1,482.51","1,461.26",-,0.02%
16-Sep-10,1463.88 ,"1,484.50","1,489.45","1,463.49",-,-1.39%
15-Sep-10,1484.50 ,"1,493.21","1,498.27","1,474.28",-,-0.58%
14-Sep-10,1493.21 ,"1,503.26","1,505.79","1,486.62",-,-0.67%
13-Sep-10,1503.22 ,"1,487.09","1,513.48","1,485.25",-,1.08%
10-Sep-10,1487.09 ,"1,492.00","1,495.27","1,482.49",-,-0.33%
9-Sep-10,1492.00 ,"1,469.49","1,499.11","1,464.79",-,1.63%
8-Sep-10,1468.11 ,"1,453.47","1,472.02","1,445.36",-,1.01%
7-Sep-10,1453.47 ,"1,469.75","1,471.11","1,447.54",-,-1.11%
6-Sep-10,1469.75 ,"1,467.19","1,478.35","1,464.67",-,0.15%
3-Sep-10,1467.62 ,"1,455.63","1,475.87","1,452.77",-,0.82%
2-Sep-10,1455.64 ,"1,449.99","1,461.94","1,448.23",-,0.39%
1-Sep-10,1449.99 ,"1,421.97","1,450.87","1,415.33",-,2.03%
31-Aug-10,1421.21 ,"1,427.11","1,428.62","1,401.22",-,-0.41%
30-Aug-10,1427.11 ,"1,421.47","1,435.43","1,421.09",-,0.40%
27-Aug-10,1421.47 ,"1,409.51","1,422.91","1,401.34",-,0.85%
26-Aug-10,1409.51 ,"1,386.05","1,411.17","1,385.54",-,1.71%
25-Aug-10,1385.81 ,"1,399.16","1,403.79","1,380.09",-,-0.79%
24-Aug-10,1396.86 ,"1,423.90","1,425.81","1,389.18",-,-2.04%
23-Aug-10,1425.91 ,"1,424.92","1,432.93","1,415.37",-,0.06%
20-Aug-10,1425.03 ,"1,446.15","1,449.47","1,422.54",-,-1.43%
19-Aug-10,1445.72 ,"1,458.36","1,471.43","1,445.72",-,-0.87%
18-Aug-10,1458.36 ,"1,464.66","1,469.35","1,453.89",-,-0.42%
17-Aug-10,1464.49 ,"1,445.94","1,467.34","1,443.80",-,1.28%
16-Aug-10,1445.94 ,"1,445.37","1,454.63","1,430.25",-,0.04%
13-Aug-10,1445.37 ,"1,447.75","1,463.56","1,439.91",-,-0.16%
12-Aug-10,1447.68 ,"1,460.70","1,466.86","1,437.85",-,-0.89%
11-Aug-10,1460.67 ,"1,492.90","1,500.15","1,458.19",-,-2.16%
10-Aug-10,1492.90 ,"1,520.56","1,523.60","1,485.76",-,-1.82%
9-Aug-10,1520.56 ,"1,509.69","1,529.11","1,504.93",-,0.71%
6-Aug-10,1509.85 ,"1,517.49","1,528.22","1,505.27",-,-0.53%
5-Aug-10,1517.87 ,"1,523.80","1,534.72","1,510.43",-,-0.39%
4-Aug-10,1523.80 ,"1,517.81","1,534.70","1,501.93",-,0.41%
3-Aug-10,1517.65 ,"1,523.16","1,531.26","1,510.83",-,-0.36%
2-Aug-10,1523.16 ,"1,479.65","1,525.05","1,474.43",-,2.93%
30-Jul-10,1479.73 ,"1,503.58","1,504.39","1,465.95",-,-1.59%
29-Jul-10,1503.68 ,"1,474.96","1,510.37","1,473.70",-,1.95%
28-Jul-10,1474.96 ,"1,481.57","1,491.59","1,468.42",-,-0.43%
27-Jul-10,1481.32 ,"1,468.07","1,492.20","1,466.89",-,0.93%
26-Jul-10,1467.68 ,"1,449.38","1,469.99","1,447.67",-,1.28%
23-Jul-10,1449.19 ,"1,443.26","1,456.52","1,438.04",-,0.44%
22-Jul-10,1442.91 ,"1,417.05","1,443.25","1,403.12",-,1.79%
21-Jul-10,1417.49 ,"1,388.43","1,422.36","1,388.43",-,2.09%
20-Jul-10,1388.43 ,"1,395.46","1,414.19","1,380.57",-,-0.47%
19-Jul-10,1394.92 ,"1,389.92","1,405.85","1,381.46",-,0.36%
16-Jul-10,1389.92 ,"1,403.33","1,416.97","1,386.47",-,-0.96%
15-Jul-10,1403.33 ,"1,412.14","1,433.94","1,402.63",-,-0.62%
14-Jul-10,1412.14 ,"1,409.41","1,430.64","1,408.41",-,0.18%
13-Jul-10,1409.61 ,"1,385.23","1,415.62","1,376.63",-,1.67%
12-Jul-10,1386.42 ,"1,359.40","1,390.33","1,355.66",-,1.98%
9-Jul-10,1359.45 ,"1,356.11","1,370.38","1,345.19",-,0.25%
8-Jul-10,1356.09 ,"1,352.94","1,374.65","1,352.03",-,0.25%
7-Jul-10,1352.71 ,"1,353.07","1,353.46","1,324.09",-,-0.07%
6-Jul-10,1353.66 ,"1,317.67","1,354.43","1,316.06",-,2.70%
5-Jul-10,1318.01 ,"1,316.12","1,324.73","1,311.03",-,0.10%
2-Jul-10,1316.65 ,"1,288.72","1,318.44","1,285.48",-,2.17%
1-Jul-10,1288.72 ,"1,339.48","1,341.02","1,288.47",-,-3.78%
30-Jun-10,1339.35 ,"1,356.40","1,362.09","1,333.85",-,-1.23%
29-Jun-10,1356.05 ,"1,404.04","1,407.39","1,349.41",-,-3.38%
28-Jun-10,1403.42 ,"1,386.58","1,409.05","1,379.02",-,1.14%
25-Jun-10,1387.66 ,"1,403.11","1,408.54","1,382.33",-,-1.09%
24-Jun-10,1402.97 ,"1,418.42","1,430.72","1,400.16",-,-1.09%
23-Jun-10,1418.42 ,"1,434.78","1,436.17","1,413.25",-,-1.15%
22-Jun-10,1434.93 ,"1,457.95","1,457.95","1,423.53",-,-1.58%
21-Jun-10,1457.95 ,"1,410.46","1,458.90","1,409.00",-,3.44%
18-Jun-10,1409.43 ,"1,400.66","1,413.52","1,393.06",-,0.63%
17-Jun-10,1400.66 ,"1,401.73","1,425.81","1,387.13",-,-0.07%
16-Jun-10,1401.63 ,"1,395.94","1,415.56","1,389.35",-,0.36%
15-Jun-10,1396.57 ,"1,356.79","1,396.61","1,354.19",-,2.93%
11-Jun-10,1356.79 ,"1,358.41","1,378.81","1,348.53",-,-0.16%
10-Jun-10,1358.94 ,"1,334.55","1,359.12","1,319.79",-,1.83%
9-Jun-10,1334.55 ,"1,315.61","1,342.24","1,315.61",-,1.44%
8-Jun-10,1315.61 ,"1,336.91","1,359.22","1,314.11",-,-1.88%
